1|SHIRT
2|SHIRT
3|SHIRT
4|SHIRT
5|SHIRT
6|SHIRT
7|SHIRT
8|SHIRT
9|CAP
10|WATER BOTTLE
11|SHIRT
12|SHIRT
13|SHIRT
14|SHIRT
15|SHIRT
16|SHIRT
17|SHIRT
18|SHIRT
19|SHIRT
20|CAP
21|CAP
22|WATER BOTTLE
23|SHIRT
24|SHIRT
25|SHIRT
26|SHIRT
27|SHIRT
28|SHIRT
29|SHIRT
30|SHIRT
31|SHIRT
32|SHIRT
33|WATER BOTTLE
34|SHIRT
35|SHIRT
36|SHIRT
37|SHIRT
38|CAP
39|SHIRT
40|CAP
41|CAP
42|SHIRT
43|SHIRT
44|SHIRT
45|SHIRT
46|SHIRT
47|WATER BOTTLE
48|SHIRT
49|SHIRT
50|SHIRT
51|SHIRT
52|WATER BOTTLE
53|SHIRT
54|SHIRT
55|SHIRT
56|SHIRT
57|WATER BOTTLE
58|SHIRT
59|SHIRT
60|SHIRT
61|SHIRT
62|SHIRT
63|CAP
64|SHIRT
65|SHIRT
66|SHIRT
67|SHIRT
68|SHIRT
69|SHIRT
70|SHIRT
71|SHIRT
72|SHIRT
73|SHIRT
74|SHIRT
75|SHIRT
76|SHIRT
77|SHIRT
78|SHIRT
79|WATER BOTTLE
80|SHIRT
81|SHIRT
82|SHIRT
83|SHIRT
84|SHIRT
85|WATER BOTTLE
86|SHIRT
87|WATER BOTTLE
88|SHIRT
89|SHIRT
90|WATER BOTTLE
91|SHIRT
92|SHIRT
93|SHIRT
94|SHIRT
95|SHIRT
96|SHIRT
97|SHIRT
98|SHIRT
99|WATER BOTTLE
100|SHIRT
101|SHIRT
102|SHIRT
103|CAP
104|SHIRT
105|SHIRT
106|SHIRT
107|CAP
108|SHIRT
109|SHIRT
110|SHIRT
111|SHIRT
112|SHIRT
113|WATER BOTTLE
114|SHIRT
115|WATER BOTTLE
116|SHIRT
117|SHIRT
118|WATER BOTTLE
119|SHIRT
120|SHIRT
121|CAP
122|CAP
123|CAP
124|SHIRT
125|CAP
126|WATER BOTTLE
127|CAP
128|SHIRT
129|SHIRT
130|SHIRT
131|SHIRT
132|SHIRT
133|SHIRT
134|CAP
135|CAP
136|SHIRT
137|CAP
138|SHIRT
139|SHIRT
140|SHIRT
141|WATER BOTTLE
