1|COLOR|BLACK
1|COLOR|GRAY
1|COLOR|HUNTER GREEN
1|COLOR|MAROON
1|COLOR|ORANGE
1|COLOR|RED
1|COLOR|SKY BLUE
1|COLOR|YELLOW
2|COLOR|BLACK
2|COLOR|GRAY
2|COLOR|HUNTER GREEN
2|COLOR|MAROON
2|COLOR|PINK
2|COLOR|PURPLE
2|COLOR|RED
2|COLOR|SKY BLUE
2|COLOR|YELLOW
3|COLOR|BLACK
3|COLOR|HUNTER GREEN
3|COLOR|ORANGE
3|COLOR|PINK
3|COLOR|PURPLE
3|COLOR|ROYAL BLUE
3|COLOR|SKY BLUE
4|COLOR|HUNTER GREEN
4|COLOR|PINK
4|COLOR|RED
4|COLOR|ROYAL BLUE
5|COLOR|GRAY
5|COLOR|MAROON
5|COLOR|ORANGE
5|COLOR|PINK
5|COLOR|RED
5|COLOR|ROYAL BLUE
5|COLOR|SKY BLUE
5|COLOR|YELLOW
6|COLOR|GRAY
6|COLOR|MAROON
6|COLOR|ROYAL BLUE
7|COLOR|BLACK
7|COLOR|HUNTER GREEN
7|COLOR|ORANGE
8|COLOR|RED
9|COLOR|BLACK
9|COLOR|GRAY
9|COLOR|MAROON
9|COLOR|PINK
9|COLOR|YELLOW
10|COLOR|HUNTER GREEN
10|COLOR|ORANGE
10|COLOR|PURPLE
10|COLOR|RED
10|COLOR|SKY BLUE
10|COLOR|YELLOW
11|COLOR|SKY BLUE
11|COLOR|YELLOW
12|COLOR|GRAY
12|COLOR|ORANGE
12|COLOR|PINK
12|COLOR|RED
12|COLOR|ROYAL BLUE
13|COLOR|BLACK
13|COLOR|GRAY
13|COLOR|MAROON
13|COLOR|PINK
13|COLOR|PURPLE
13|COLOR|SKY BLUE
14|COLOR|BLACK
14|COLOR|HUNTER GREEN
14|COLOR|ORANGE
14|COLOR|PURPLE
14|COLOR|YELLOW
15|COLOR|BLACK
15|COLOR|GRAY
15|COLOR|MAROON
15|COLOR|PURPLE
15|COLOR|RED
16|COLOR|ORANGE
17|COLOR|BLACK
17|COLOR|MAROON
17|COLOR|PINK
17|COLOR|RED
18|COLOR|BLACK
18|COLOR|GRAY
18|COLOR|YELLOW
19|COLOR|HUNTER GREEN
19|COLOR|RED
20|COLOR|BLACK
20|COLOR|ORANGE
20|COLOR|PINK
20|COLOR|ROYAL BLUE
21|COLOR|BLACK
21|COLOR|GRAY
21|COLOR|MAROON
21|COLOR|PURPLE
21|COLOR|ROYAL BLUE
21|COLOR|SKY BLUE
22|COLOR|GRAY
23|COLOR|HUNTER GREEN
24|COLOR|BLACK
24|COLOR|GRAY
24|COLOR|HUNTER GREEN
24|COLOR|MAROON
24|COLOR|ORANGE
24|COLOR|PURPLE
24|COLOR|RED
24|COLOR|ROYAL BLUE
24|COLOR|SKY BLUE
25|COLOR|BLACK
25|COLOR|GRAY
25|COLOR|ORANGE
25|COLOR|PINK
25|COLOR|PURPLE
25|COLOR|ROYAL BLUE
25|COLOR|SKY BLUE
26|COLOR|PURPLE
27|COLOR|BLACK
27|COLOR|GRAY
27|COLOR|ORANGE
27|COLOR|PURPLE
27|COLOR|RED
27|COLOR|ROYAL BLUE
27|COLOR|SKY BLUE
27|COLOR|YELLOW
28|COLOR|BLACK
28|COLOR|GRAY
28|COLOR|HUNTER GREEN
28|COLOR|ORANGE
28|COLOR|PURPLE
28|COLOR|RED
28|COLOR|ROYAL BLUE
28|COLOR|SKY BLUE
28|COLOR|YELLOW
29|COLOR|BLACK
29|COLOR|GRAY
29|COLOR|HUNTER GREEN
29|COLOR|MAROON
29|COLOR|ORANGE
29|COLOR|PINK
29|COLOR|RED
29|COLOR|SKY BLUE
30|COLOR|BLACK
30|COLOR|GRAY
30|COLOR|MAROON
30|COLOR|PINK
30|COLOR|PURPLE
30|COLOR|RED
30|COLOR|YELLOW
31|COLOR|PURPLE
31|COLOR|SKY BLUE
32|COLOR|GRAY
32|COLOR|HUNTER GREEN
32|COLOR|MAROON
32|COLOR|PURPLE
32|COLOR|ROYAL BLUE
33|COLOR|BLACK
33|COLOR|HUNTER GREEN
33|COLOR|RED
33|COLOR|YELLOW
34|COLOR|BLACK
34|COLOR|GRAY
34|COLOR|HUNTER GREEN
34|COLOR|MAROON
34|COLOR|ORANGE
34|COLOR|PURPLE
34|COLOR|RED
34|COLOR|SKY BLUE
34|COLOR|YELLOW
35|COLOR|BLACK
35|COLOR|GRAY
35|COLOR|PINK
35|COLOR|RED
35|COLOR|ROYAL BLUE
35|COLOR|YELLOW
36|COLOR|GRAY
36|COLOR|MAROON
36|COLOR|PURPLE
36|COLOR|RED
36|COLOR|SKY BLUE
36|COLOR|YELLOW
37|COLOR|MAROON
38|COLOR|BLACK
38|COLOR|GRAY
38|COLOR|PURPLE
39|COLOR|GRAY
39|COLOR|ORANGE
39|COLOR|ROYAL BLUE
39|COLOR|SKY BLUE
40|COLOR|GRAY
40|COLOR|HUNTER GREEN
40|COLOR|ROYAL BLUE
40|COLOR|SKY BLUE
40|COLOR|YELLOW
41|COLOR|BLACK
