1|394|1|\N|2017-01-31|\N|\N|Times|12|Black
2|669|6|\N|2016-02-23|\N|\N|Times|12|Black
3|566|4|\N|2016-07-18|\N|\N|Times|12|Black
4|121|2|\N|2016-12-21|\N|\N|Times|12|Black
5|298|7|\N|2016-02-23|\N|\N|Times|12|Black
6|267|6|\N|2016-12-21|\N|\N|Times|12|Black
7|132|4|\N|2016-10-09|\N|\N|Times|12|Black
8|367|4|\N|2016-12-21|\N|\N|Times|12|Black
9|235|1|\N|2016-01-01|\N|\N|Times|12|Black
10|3|3|\N|2017-01-31|\N|\N|Times|12|Black
11|529|1|\N|2016-12-21|\N|\N|Times|12|Black
12|402|4|\N|2016-04-11|\N|\N|Times|12|Black
13|702|2|\N|2017-01-31|\N|\N|Times|12|Black
14|200|7|\N|2017-01-31|\N|\N|Times|12|Black
15|45|7|\N|2016-10-09|\N|\N|Times|12|Black
16|602|1|\N|2016-10-09|\N|\N|Times|12|Black
17|247|3|\N|2016-04-11|\N|\N|Times|12|Black
18|120|5|\N|2017-03-15|\N|\N|Times|12|Black
19|713|3|\N|2016-12-18|\N|\N|Times|12|Black
20|202|4|\N|2016-10-09|\N|\N|Times|12|Black
21|335|2|\N|2017-01-31|\N|\N|Times|12|Black
22|652|2|\N|2016-02-23|\N|\N|Times|12|Black
23|645|5|\N|2016-07-18|\N|\N|Times|12|Black
24|43|4|\N|2016-04-11|\N|\N|Times|12|Black
25|730|7|\N|2017-01-01|\N|\N|Times|12|Black
26|719|5|\N|2016-02-23|\N|\N|Times|12|Black
27|698|3|\N|2017-01-01|\N|\N|Times|12|Black
28|697|7|\N|2016-04-11|\N|\N|Times|12|Black
29|115|1|\N|2016-12-18|\N|\N|Times|12|Black
30|135|7|\N|2016-07-18|\N|\N|Times|12|Black
31|373|3|\N|2016-12-18|\N|\N|Times|12|Black
32|641|7|\N|2016-02-23|\N|\N|Times|12|Black
33|150|5|\N|2016-01-01|\N|\N|Times|12|Black
34|675|6|\N|2016-12-21|\N|\N|Times|12|Black
35|757|5|\N|2016-12-21|\N|\N|Times|12|Black
36|31|4|\N|2017-01-01|\N|\N|Times|12|Black
37|485|4|\N|2016-07-18|\N|\N|Times|12|Black
38|348|4|\N|2017-01-01|\N|\N|Times|12|Black
39|348|2|\N|2016-01-01|\N|\N|Times|12|Black
40|300|2|\N|2016-04-11|\N|\N|Times|12|Black
41|268|2|\N|2016-10-09|\N|\N|Times|12|Black
42|808|6|\N|2016-01-01|\N|\N|Times|12|Black
43|496|1|\N|2016-07-18|\N|\N|Times|12|Black
44|461|6|\N|2016-07-18|\N|\N|Times|12|Black
45|542|3|\N|2016-07-18|\N|\N|Times|12|Black
